Client Name,Client ABN,Date Published,Parent Organisation,Org ABN,is_energy
Energy Networks Association Limited,75 106 735 406,03/06/2025,Emerald House Advocacy Pty Ltd,29682837672,1
Vorwerk Australia Pty Ltd,88 069 944 930,28/03/2025,BINA GROUP PTY LTD,63168662379,0
COMMUNICATIONS ELECTRICAL ELECTRONIC ENERGY INFORMATION POSTAL AND ALLIED SERVICES UNION OF AUSTRALIA ELECTRICAL DIVISION NSW BRANCH,46 878 660 276,15/07/2021,Essential Media Communications,48074671462,1
G8 EDUCATION LIMITED,95 123 828 553,31/10/2023,SEC Newgate Pty Limited,38162366056,0
Genesis Specialist Care Pty Ltd,51 111 943 161,16/05/2022,Nexus APAC Pty Ltd,76615655699,0
INTERNATIONAL SPECIALISED SKILLS INSTITUTE,22 165 043 213,03/07/2025,Hawker Britton Group Pty Ltd,79109681405,0
Pilbara Iron Company (Services) Pty Ltd,35 107 210 248,22/04/2021,CGM Communications Pty Ltd,66619642858,0
TYRESMART AUSTRALIA PTY LTD,51146548003,11/07/2013,PRX Unit Trust,71595434578,0
VICTORIAN TRANSPORT ASSOCIATION INC.,95922065177,10/07/2015,PRX Unit Trust,71595434578,0
29METALS LIMITED,95 650 096 094,07/02/2024,Govstrat Pty Ltd,64964952044,0
3M Australia Pty Ltd,90000100096,09/04/2024,Premier State Consulting Pty Ltd,26149964189,0
3M Australia Pty Ltd,90000100096,09/04/2024,PremierNational Pty Ltd,71619450841,0
5North,93669625218,10/07/2025,Capetal Advisory Pty Ltd,86615732182,0
A Better Future Fund,85 624 329 960,01/11/2023,The Influence Corporation Pty. Ltd.,79 671 703 156,0
A. Menarini Australia Pty Ltd,62 116 935 758,06/07/2023,TJ Health Comms,64705249956,0
AA Holdings Pty Ltd,94 112 233 744,13/09/2022,RedBridge Group Pty Ltd,11650587867,0
Abbott,,18/03/2019,London Agency Pty Ltd,73145352147,0
ABBOTT MEDICAL AUSTRALIA PTY LTD.,73 080 212 746,07/02/2024,Precision Public Affairs Pty Ltd,42639299415,0
AbbVie,48 156 384 262,15/03/2024,Principle Advisory Pty Ltd,29657059848,0
AbbVie Australia,48 156 384 262,15/01/2019,OGILVY HEALTH PTY LTD,62 114 807 877,0
Abel Energy,12640400399,21/08/2023,A.GR Advisors Pty Ltd,56665229112,1
ABEL Energy,,02/02/2023,Bartholomew Quinn and Associates Pty Ltd,97009584105,1
Ability First Australia,,17/08/2018,TSB Advisory Pty Ltd,90604408826,0
Aboriginal Legal Service (NSW/ACT) Limited,93 118 431 066,28/08/2024,Essential Media Communications,48074671462,0
Abra Mining Pty Ltd,30 110 233 577,14/07/2025,Corporate Affairs Australia Pty Ltd,87 629 216 262,0
Abu Dhabi Developmental Holding Company,,23/06/2025,TG Public Affairs Pty Ltd,23630677673,0
Abu Dhabi National Oil Company,,23/06/2025,TG Public Affairs Pty Ltd,23630677673,0
Accenture Australia Pty Ltd,49096776895,16/10/2023,CMAX Advisory PTY LTD as a Trustee for CMAX Trading Trust,62155922079,0
Access Partnership,,10/02/2025,Forsius Technology Consulting,70543558011,0
Acciona,59114553454,27/01/2023,Richardson Coutts Pty Ltd,82378912405,0
Accolade Wines,86 008 273 907,27/02/2024,SEC Newgate Pty Limited,38162366056,0
ACEN Australia,27 616 856 672,10/06/2020,SECOND SUN MEDIA PTY LTD,25 633 329 174,0
ACFIN PTY LTD,78 626 887 563,29/10/2024,SANLAAN PTY LTD,21131482230,0
Achieve Australia,49 133 306 902,04/04/2022,Lady & Professor Pty Ltd,16642238702,0
ACOR Consultants Pty Ltd,40 079 306 246,01/07/2025,"PATON, ALEXANDER WILLIAM",26764474411,0
"Acquisition, Technology & Logistics Agency (ATLA)-Japan",,24/01/2025,Indo Pacific Advisory Pty Ltd,78669769859,0
Actinogen,,02/07/2025,Media and Public Affairs Australia,49622979177,0
Acumentis Pty Ltd,30 109 670 671,21/05/2021,National Advisory Pty Ltd,29634573363,0
Adams Aus Bidco Pty Ltd,50 637 090 996,12/04/2024,Anacta Strategies Pty Ltd,64633978677,0
Adecco Australia Pty Ltd,91 006 253 336,31/10/2024,Northstar Public Affairs Pty Ltd,25638744046,0
ADELAIDE JUVENTUS SPORTS & SOCIAL CLUB INC.,11404303857,03/02/2025,The Trustee for Neagle Family Trust,55305718177,0
Adjudicate Today,,09/07/2020,Megan Anwyl,13159060561,0
Adobe Systems Pty Ltd,72054247835,29/06/2017,Christmas Jalili Pty Ltd,26614088881,0
Advanced Materials and Battery Council,84660638648,12/06/2025,JP STRATEGIC ADVISORY PTY LTD,58674312077,0
ADVANCED OFFSITE CONSTRUCTION PTY LTD,48630952359,11/07/2025,Stockdale Investments Pty Ltd atf Harris Family Trust,81323296865,0
Advanced Pharmacy Australia,54004553806,23/09/2024,Nexus APAC Pty Ltd,76615655699,0
Advent Energy,39 109 955 400,03/02/2025,A.GR Advisors Pty Ltd,56665229112,1
